"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2242","Check displaying of create course page with image and form","LMS system","Fri May 08 12:51:17 UTC 2026","passed","Fri May 08 12:51:19 UTC 2026","Courses","Courses","",""
"","2329","Check displaying of Dashboard page","LMS system","Fri May 08 12:51:21 UTC 2026","passed","Fri May 08 12:51:23 UTC 2026","Dashboard","Dashboard","",""
"","2618","Check to edit course","LMS system","Fri May 08 12:51:20 UTC 2026","passed","Fri May 08 12:51:22 UTC 2026","Courses","Courses","",""
"","2118","User login with wrong email or password","LMS system","Fri May 08 12:51:03 UTC 2026","passed","Fri May 08 12:51:06 UTC 2026","Authorization","Authentication","",""
"","1817","Check displaying of empty courses list","LMS system","Fri May 08 12:51:13 UTC 2026","passed","Fri May 08 12:51:14 UTC 2026","Courses","Courses","",""
"","1610","User login with wrong email or password","LMS system","Fri May 08 12:51:13 UTC 2026","passed","Fri May 08 12:51:15 UTC 2026","Authorization","Authentication","",""
"","1723","User registration with correct email, username and password","LMS system","Fri May 08 12:51:09 UTC 2026","passed","Fri May 08 12:51:11 UTC 2026","Registration","Authentication","",""
"","9442","User login with correct email and password","LMS system","Fri May 08 12:51:03 UTC 2026","passed","Fri May 08 12:51:13 UTC 2026","Authorization","Authentication","",""
"","1415","Navigate from login page to registration page","LMS system","Fri May 08 12:51:08 UTC 2026","passed","Fri May 08 12:51:09 UTC 2026","Authorization","Authentication","",""
"","1583","User login with wrong email or password","LMS system","Fri May 08 12:51:06 UTC 2026","passed","Fri May 08 12:51:08 UTC 2026","Authorization","Authentication","",""
"","1815","Check displaying of create course page in default state","LMS system","Fri May 08 12:51:16 UTC 2026","passed","Fri May 08 12:51:18 UTC 2026","Courses","Courses","",""
